instance_id,exit_status,api_calls,full_history_tokens,last_prompt_tokens,max_completion_tokens,failed_prompt_tokens,max_context_tokens,effective_context_tokens,traj_path
django__django-14351,LimitsExceeded,135,36077,36012,2048,,131072,38060,unbalance1/django__django-14351/django__django-14351.traj.json
django__django-14373,Submitted,28,9743,8623,2048,,131072,10671,unbalance1/django__django-14373/django__django-14373.traj.json
django__django-14376,LimitsExceeded,135,16663,16574,2048,,131072,18622,unbalance1/django__django-14376/django__django-14376.traj.json
django__django-14404,LimitsExceeded,135,50791,50621,2048,,131072,52669,unbalance1/django__django-14404/django__django-14404.traj.json
django__django-14434,Submitted,32,14567,13866,2048,,131072,15914,unbalance1/django__django-14434/django__django-14434.traj.json
django__django-14493,LimitsExceeded,135,43523,43219,2048,,131072,45267,unbalance1/django__django-14493/django__django-14493.traj.json
django__django-14500,LimitsExceeded,135,58975,58654,2048,,131072,60702,unbalance1/django__django-14500/django__django-14500.traj.json
django__django-14534,LimitsExceeded,135,21067,20985,2048,,131072,23033,unbalance1/django__django-14534/django__django-14534.traj.json
django__django-14539,LimitsExceeded,135,24777,24623,2048,,131072,26671,unbalance1/django__django-14539/django__django-14539.traj.json
django__django-14559,LimitsExceeded,135,91118,90031,2048,,131072,92079,unbalance1/django__django-14559/django__django-14559.traj.json
django__django-14580,LimitsExceeded,135,65170,64764,2048,,131072,66812,unbalance1/django__django-14580/django__django-14580.traj.json
django__django-14608,LimitsExceeded,135,38025,37953,2048,,131072,40001,unbalance1/django__django-14608/django__django-14608.traj.json
django__django-14631,Submitted,32,16525,15000,2048,,131072,17048,unbalance1/django__django-14631/django__django-14631.traj.json
django__django-14672,LimitsExceeded,135,37096,36845,2048,,131072,38893,unbalance1/django__django-14672/django__django-14672.traj.json
django__django-14725,LimitsExceeded,135,74040,73502,2048,,131072,75550,unbalance1/django__django-14725/django__django-14725.traj.json
django__django-14752,Submitted,14,8162,7759,2048,,131072,9807,unbalance1/django__django-14752/django__django-14752.traj.json
django__django-14765,LimitsExceeded,135,45360,45116,2048,,131072,47164,unbalance1/django__django-14765/django__django-14765.traj.json
django__django-14771,LimitsExceeded,135,85842,85330,2048,,131072,87378,unbalance1/django__django-14771/django__django-14771.traj.json
django__django-14787,LimitsExceeded,135,27728,27553,2048,,131072,29601,unbalance1/django__django-14787/django__django-14787.traj.json
django__django-14792,LimitsExceeded,135,71420,70859,2048,,131072,72907,unbalance1/django__django-14792/django__django-14792.traj.json
django__django-14855,LimitsExceeded,135,68419,67888,2048,,131072,69936,unbalance1/django__django-14855/django__django-14855.traj.json
django__django-14915,Submitted,30,12540,11657,2048,,131072,13705,unbalance1/django__django-14915/django__django-14915.traj.json
django__django-14999,LimitsExceeded,135,28976,28800,2048,,131072,30848,unbalance1/django__django-14999/django__django-14999.traj.json
django__django-15022,LimitsExceeded,135,120609,119688,2048,,131072,121736,unbalance1/django__django-15022/django__django-15022.traj.json
django__django-15037,LimitsExceeded,135,60342,60008,2048,,131072,62056,unbalance1/django__django-15037/django__django-15037.traj.json
django__django-15098,LimitsExceeded,135,31842,31657,2048,,131072,33705,unbalance1/django__django-15098/django__django-15098.traj.json
django__django-15103,LimitsExceeded,135,63976,63507,2048,,131072,65555,unbalance1/django__django-15103/django__django-15103.traj.json
django__django-15104,Submitted,20,27723,11458,2048,,131072,13506,unbalance1/django__django-15104/django__django-15104.traj.json
django__django-15127,LimitsExceeded,135,49223,49056,2048,,131072,51104,unbalance1/django__django-15127/django__django-15127.traj.json
django__django-15128,LimitsExceeded,135,88982,88301,2048,,131072,90349,unbalance1/django__django-15128/django__django-15128.traj.json
django__django-15161,LimitsExceeded,135,120592,118436,2048,,131072,120484,unbalance1/django__django-15161/django__django-15161.traj.json
django__django-15252,LimitsExceeded,135,70006,69496,2048,,131072,71544,unbalance1/django__django-15252/django__django-15252.traj.json
django__django-15268,LimitsExceeded,135,42706,42501,2048,,131072,44549,unbalance1/django__django-15268/django__django-15268.traj.json
django__django-15277,LimitsExceeded,135,27886,27618,2048,,131072,29666,unbalance1/django__django-15277/django__django-15277.traj.json
django__django-15278,LimitsExceeded,135,62315,61871,2048,,131072,63919,unbalance1/django__django-15278/django__django-15278.traj.json
django__django-15280,LimitsExceeded,135,78415,77858,2048,,131072,79906,unbalance1/django__django-15280/django__django-15280.traj.json
django__django-15315,LimitsExceeded,135,36966,36772,2048,,131072,38820,unbalance1/django__django-15315/django__django-15315.traj.json
django__django-15368,LimitsExceeded,135,44265,43965,2048,,131072,46013,unbalance1/django__django-15368/django__django-15368.traj.json
django__django-15375,LimitsExceeded,135,36873,36631,2048,,131072,38679,unbalance1/django__django-15375/django__django-15375.traj.json
django__django-15380,LimitsExceeded,135,90131,89435,2048,,131072,91483,unbalance1/django__django-15380/django__django-15380.traj.json
django__django-15382,LimitsExceeded,135,19337,19266,2048,,131072,21314,unbalance1/django__django-15382/django__django-15382.traj.json
django__django-15467,LimitsExceeded,135,42461,42231,2048,,131072,44279,unbalance1/django__django-15467/django__django-15467.traj.json
django__django-15499,LimitsExceeded,135,55571,55146,2048,,131072,57194,unbalance1/django__django-15499/django__django-15499.traj.json
django__django-15503,LimitsExceeded,135,64843,64759,2048,,131072,66807,unbalance1/django__django-15503/django__django-15503.traj.json
django__django-15525,ContextLengthExceeded,108,129390,128083,2048,129282,131072,131072,unbalance1/django__django-15525/django__django-15525.traj.json
django__django-15554,LimitsExceeded,135,20507,20449,2048,,131072,22497,unbalance1/django__django-15554/django__django-15554.traj.json
django__django-15561,LimitsExceeded,135,129837,128793,2048,,131072,130841,unbalance1/django__django-15561/django__django-15561.traj.json
django__django-15563,LimitsExceeded,135,87099,86283,2048,,131072,88331,unbalance1/django__django-15563/django__django-15563.traj.json
django__django-15569,Submitted,10,6324,6051,2048,,131072,8099,unbalance1/django__django-15569/django__django-15569.traj.json
django__django-15572,Submitted,44,28042,24215,2048,,131072,26263,unbalance1/django__django-15572/django__django-15572.traj.json
django__django-15629,LimitsExceeded,135,50765,50510,2048,,131072,52558,unbalance1/django__django-15629/django__django-15629.traj.json
django__django-15695,ContextLengthExceeded,123,129785,127361,2048,129677,131072,131072,unbalance1/django__django-15695/django__django-15695.traj.json
django__django-15731,Submitted,16,6273,5768,2048,,131072,7816,unbalance1/django__django-15731/django__django-15731.traj.json
django__django-15732,LimitsExceeded,135,56576,56465,2048,,131072,58513,unbalance1/django__django-15732/django__django-15732.traj.json
django__django-15741,Submitted,28,9779,9576,2048,,131072,11624,unbalance1/django__django-15741/django__django-15741.traj.json
django__django-15814,LimitsExceeded,135,38486,38235,2048,,131072,40283,unbalance1/django__django-15814/django__django-15814.traj.json
django__django-15851,Submitted,40,11436,10879,2048,,131072,12927,unbalance1/django__django-15851/django__django-15851.traj.json
django__django-15863,LimitsExceeded,135,59418,59094,2048,,131072,61142,unbalance1/django__django-15863/django__django-15863.traj.json
django__django-15916,LimitsExceeded,135,46376,46223,2048,,131072,48271,unbalance1/django__django-15916/django__django-15916.traj.json
django__django-15930,LimitsExceeded,135,29663,29592,2048,,131072,31640,unbalance1/django__django-15930/django__django-15930.traj.json
django__django-15957,LimitsExceeded,135,32637,32565,2048,,131072,34613,unbalance1/django__django-15957/django__django-15957.traj.json
django__django-15973,LimitsExceeded,135,127499,126536,2048,,131072,128584,unbalance1/django__django-15973/django__django-15973.traj.json
django__django-15987,Submitted,31,11069,9900,2048,,131072,11948,unbalance1/django__django-15987/django__django-15987.traj.json
django__django-16032,LimitsExceeded,135,96581,96429,2048,,131072,98477,unbalance1/django__django-16032/django__django-16032.traj.json
django__django-16082,LimitsExceeded,135,41632,41485,2048,,131072,43533,unbalance1/django__django-16082/django__django-16082.traj.json
django__django-16100,LimitsExceeded,135,28709,28530,2048,,131072,30578,unbalance1/django__django-16100/django__django-16100.traj.json
django__django-16116,LimitsExceeded,135,31955,31823,2048,,131072,33871,unbalance1/django__django-16116/django__django-16116.traj.json
django__django-16136,ContextLengthExceeded,105,130180,127974,2048,130072,131072,131072,unbalance1/django__django-16136/django__django-16136.traj.json
django__django-16139,LimitsExceeded,135,103865,101709,2048,,131072,103757,unbalance1/django__django-16139/django__django-16139.traj.json
django__django-16145,Submitted,16,11036,8926,2048,,131072,10974,unbalance1/django__django-16145/django__django-16145.traj.json
django__django-16255,LimitsExceeded,135,25672,25579,2048,,131072,27627,unbalance1/django__django-16255/django__django-16255.traj.json
django__django-16256,LimitsExceeded,135,18263,18186,2048,,131072,20234,unbalance1/django__django-16256/django__django-16256.traj.json
django__django-16263,LimitsExceeded,135,18009,17910,2048,,131072,19958,unbalance1/django__django-16263/django__django-16263.traj.json
django__django-16315,LimitsExceeded,135,61074,60596,2048,,131072,62644,unbalance1/django__django-16315/django__django-16315.traj.json
django__django-16333,LimitsExceeded,135,75892,75339,2048,,131072,77387,unbalance1/django__django-16333/django__django-16333.traj.json
django__django-16429,LimitsExceeded,135,42479,42316,2048,,131072,44364,unbalance1/django__django-16429/django__django-16429.traj.json
django__django-16454,LimitsExceeded,135,50927,50490,2048,,131072,52538,unbalance1/django__django-16454/django__django-16454.traj.json
django__django-16485,LimitsExceeded,135,85932,83441,2048,,131072,85489,unbalance1/django__django-16485/django__django-16485.traj.json
django__django-16493,Submitted,25,12128,10754,2048,,131072,12802,unbalance1/django__django-16493/django__django-16493.traj.json
django__django-16502,Submitted,23,23658,21381,2048,,131072,23429,unbalance1/django__django-16502/django__django-16502.traj.json
django__django-16527,LimitsExceeded,135,83484,83397,2048,,131072,85445,unbalance1/django__django-16527/django__django-16527.traj.json
